x1,x2,y1,y2,width,noise,Sentiment Score,color,+ or -
100,100,100,100,1,0.0,0.9528170228004456,343.0141282081604,100
200,300,500,500,2,0.75,0.6046104431152344,217.65975952148438,100
500,500,400,400,3,0.25,-0.9743235111236572,350.7564640045166,70
300,300,200,200,4,0.75,-0.9682359099388124,348.56492757797247,70
100,400,200,400,5,0.5,0.0,0.0,70
500,500,500,500,5,1.0,0.9998261332511902,359.93740797042847,100
300,300,300,300,3,0.5,-0.9929759502410888,357.47134208679194,70
400,400,400,400,4,0.75,0.9988414645195008,359.5829272270203,100
200,200,200,200,2,0.25,0.9997692704200744,359.91693735122675,100
400,100,200,200,5,0.0,-0.9997939467430116,359.9258208274842,70
400,100,200,200,5,0.0,0.9995089769363404,359.8232316970826,100
100,100,100,500,5,1.0,0.9927570223808287,357.39252805709833,100
500,500,500,500,3,1.0,-0.9978225231170654,359.21610832214355,70
300,300,300,300,3,0.5,-0.8917062282562256,321.0142421722412,70
400,400,400,300,4,0.75,0.6373270153999329,229.43772554397583,100
100,100,100,100,1,0.0,-0.9997190833091736,359.8988699913025,70
100,100,100,100,1,0.0,-0.9997190833091736,359.8988699913025,70
100,100,100,100,1,0.0,-0.9997190833091736,359.8988699913025,70
200,200,200,100,2,0.25,-0.999377191066742,359.77578878402716,70
200,200,200,100,2,0.25,-0.9992852807044984,359.74270105361944,70
100,100,100,100,2,0.25,-0.986117422580719,355.00227212905884,70
100,100,100,100,2,0.25,-0.986117422580719,355.00227212905884,70
100,400,400,400,4,1.0,-0.8624307513237,310.475070476532,70
400,300,400,400,2,0.0,-0.906166970729828,326.2201094627381,70
300,300,300,400,3,0.5,-0.9990103244781494,359.6437168121338,70
100,100,500,400,3,1.0,-0.9994656443595886,359.8076319694519,70
500,500,500,400,5,1.0,0.999630331993103,359.8669195175171,100
400,400,500,400,4,0.75,0.9997250437736512,359.90101575851446,100
200,200,200,200,4,0.75,0.9942030310630798,357.91309118270874,100
200,200,200,500,5,1.0,0.9963839054107666,358.698205947876,100
500,500,500,300,3,1.0,0.8495273590087891,305.82984924316406,100
100,100,100,100,3,0.0,0.981812059879303,353.4523415565491,100
400,200,500,400,3,0.0,-0.9961549639701844,358.6157870292664,70
500,200,500,500,5,1.0,-0.9807119369506836,353.0562973022461,70
500,500,500,500,5,1.0,0.9836475253105164,354.1131091117859,100
200,500,200,100,1,0.0,0.8154969811439514,293.5789132118225,100
100,100,100,100,1,0.0,-0.9898395538330078,356.3422393798828,70
500,500,100,100,5,0.0,-0.9886990189552308,355.9316468238831,70
500,500,100,100,5,0.0,-0.9886990189552308,355.9316468238831,70
500,500,100,100,5,0.0,-0.9886990189552308,355.9316468238831,70
100,100,100,100,1,0.0,-0.977951169013977,352.06242084503174,70
400,400,100,500,5,1.0,-0.9967532753944396,358.83117914199823,70
100,100,500,100,1,0.0,-0.9989649057388306,359.627366065979,70
100,100,500,100,1,0.0,-0.985586404800415,354.8111057281494,70
300,300,300,300,3,0.5,-0.9960313439369202,358.57128381729126,70
500,500,500,500,5,1.0,0.9998871088027954,359.95935916900635,100
